iso3,Субъект,Рейтинг качества жизни,Объем депозитов,Соотношение депозитов и доходов,Прирост вкладов,Доля валютных депозитов,Прирост населения за три года,Численность населения,Естественный прирост населения за три года,Миграционный прирост населения за три года,Доля просроченных кредитов,Изменение просроченных кредитов,Ссудная задолженность,Прирост задолженности,Доля с возможностей купить жилье в ипотеку 2019,Доля с возможностей купить жилье в ипотеку 2018,Отношение долга по кредитам к зп,Долг на человека(в тыс руб),Изменение долга(в тыс руб),Доля зп более 100тыс,Доля зп менее 15тыс,Медианная зп,Привлекательность труда для пенсионеров,Отношение зп в малых нас пунктах на стоимость базовых товаров,Средняя зп в малых нас пунктах,Прирост зп в малых нас пунктах,Отношение зп в малых нас пунктах к зп по региону,Число новых рабочих мест за три года,Число новых рабочих мест за 10 лет,Изменение числа новых рабочих мест за три года,Изменение числа новых рабочих мест за 10 лет,Отсутствие вредных привычек,Кол-во ДТП на 100тыс авто,Изменение кол-ва ДТП,Число пострадавших в дтп,Число погибших на 1000 пострадавших
RU-UD,Респ Удмуртская,46.334,106.1,4.27,30.4,9.4,-1.0,1501.0,-5.1,-10.6,2.94,-0.5,238.0,16.4,30.2,29.1,66.4,230.9,34.5,1.6,15.1,26.3,54.0,2.28,28.6,5.6,0.89,-35.4,-51.2,-4.6,-6.6,62.6,397.0,4.6,191.0,63.0
RU-ORL,Орловская обл,46.245,122.0,4.89,34.3,6.8,-2.8,733.5,-15.1,-6.0,3.63,-1.1,207.0,17.7,26.2,25.9,67.0,200.9,32.4,0.9,21.6,22.3,50.9,2.03,24.5,7.3,0.89,-32.7,-36.8,-9.1,-10.1,77.4,242.0,-3.4,145.0,88.0
RU-BRY,Брянская обл,46.225,100.1,3.76,32.9,8.0,-2.3,1192.5,-21.8,-6.2,4.11,-0.9,170.0,16.9,27.2,26.6,54.9,166.6,25.1,1.1,25.1,22.2,45.7,1.86,24.0,7.3,0.86,-24.6,3.0,-4.1,0.5,74.4,387.0,-9.3,128.0,90.0
RU-VGG,Волгоградская обл,46.204,108.8,4.79,29.0,10.2,-1.7,2491.0,-29.8,-14.3,5.1,-1.0,184.0,18.5,34.9,31.3,53.4,178.6,29.3,1.4,19.0,25.3,54.6,2.07,25.9,6.2,0.84,-26.9,-29.4,-2.2,-2.4,81.5,212.0,2.8,152.0,75.0
RU-TAM,Тамбовская обл,46.169,97.7,3.59,30.3,5.2,-3.2,1006.7,-21.9,-11.7,4.07,-0.7,177.0,16.7,27.1,26.6,59.8,174.5,27.6,1.1,23.1,22.2,,2.09,25.4,7.4,0.93,-19.5,-23.2,-3.9,-4.6,80.3,334.0,-5.9,187.0,81.0
RU-CU,Чувашская Республика - Чувашия,45.971,109.6,5.78,31.9,9.1,-1.5,1217.8,-7.6,-10.4,2.78,-0.6,215.0,13.5,28.8,26.2,70.5,211.9,29.9,1.3,23.2,22.1,45.3,2.0,23.5,8.5,0.84,-33.4,-17.5,-5.5,-2.9,76.7,363.0,-1.1,145.0,75.0
RU-TOM,Томская обл,45.501,128.1,4.63,22.2,8.7,0.0,1079.3,-1.4,1.5,3.53,-0.9,226.0,14.9,41.3,40.2,50.0,222.5,30.4,4.7,7.2,34.3,34.8,3.11,42.3,5.3,0.96,1.7,22.8,0.3,4.7,72.0,191.0,-5.1,93.0,106.0
RU-PRI,Приморский край,45.495,188.4,5.31,33.9,17.1,-1.4,1895.9,-17.5,-10.2,3.94,-0.9,225.0,20.8,20.9,20.6,46.3,217.8,35.3,6.5,3.7,36.8,47.8,2.54,40.3,8.6,0.86,-43.8,-41.4,-4.4,-4.2,57.6,309.0,5.8,214.0,73.0
UA-43,Респ Крым,45.46,49.7,2.35,68.9,3.1,0.0,1912.6,-20.9,21.5,2.09,0.0,48.0,51.9,15.5,13.6,13.9,45.8,16.2,1.5,19.0,24.8,58.2,2.07,27.8,7.7,0.91,26.6,0.0,3.2,0.0,74.0,408.0,-7.2,145.0,101.0
RU-SAR,Саратовская обл,45.15,113.2,5.17,24.4,8.7,-2.3,2421.9,-34.9,-22.2,4.57,-1.1,186.0,18.0,30.6,29.3,63.2,182.6,29.4,1.5,24.5,22.6,48.3,2.14,24.5,6.7,0.84,-28.8,-49.2,-2.4,-4.1,79.7,328.0,-1.7,187.0,64.0
RU-PER,Пермский край,44.714,130.6,4.46,14.7,12.9,-1.2,2599.3,-16.4,-16.4,3.89,-0.9,259.0,15.5,34.0,32.6,64.5,253.1,35.0,3.0,12.2,29.6,43.0,2.32,30.2,5.2,0.82,-76.7,-113.7,-6.2,-8.9,63.7,273.0,-13.0,163.0,67.0
RU-MAG,Магаданская обл,44.658,317.9,5.13,29.6,7.6,-3.7,140.1,-0.6,-4.8,3.32,-0.8,339.0,16.6,63.8,61.8,34.7,329.7,49.9,26.1,0.4,65.2,29.5,4.79,93.0,11.1,1.06,-5.2,-15.1,-6.0,-15.7,44.6,368.0,11.7,280.0,73.0
RU-MO,Респ Мордовия,44.511,91.1,4.76,32.6,5.1,-2.3,790.2,-12.6,-5.4,3.24,-0.2,165.0,14.4,24.4,23.4,55.6,162.6,23.8,0.9,22.6,22.0,49.7,2.02,23.9,7.5,0.9,-6.1,-24.8,-1.4,-5.6,77.6,334.0,-9.4,189.0,92.0
RU-IVA,Ивановская обл,43.901,133.1,5.19,25.0,12.4,-2.5,997.1,-21.2,-4.8,4.76,-0.6,153.0,12.8,23.0,20.5,54.4,152.3,21.1,0.9,24.9,21.4,36.3,1.69,22.3,8.4,0.84,-9.8,10.0,-1.9,2.1,73.3,304.0,-13.1,156.0,57.0
RU-OMS,Омская обл,43.038,110.8,4.27,24.8,10.1,-2.3,1926.7,-11.8,-34.1,4.59,-1.6,200.0,16.7,31.3,31.6,54.6,195.8,28.3,2.4,18.1,26.1,,1.97,23.9,6.4,0.71,-26.6,-7.2,-2.7,-0.8,70.4,476.0,-2.8,199.0,44.0
RU-AST,Астраханская обл,42.495,88.4,3.69,24.9,8.8,-1.3,1005.8,0.3,-13.4,4.99,-1.8,204.0,17.1,31.5,30.2,54.3,198.5,28.2,2.9,22.2,24.8,33.4,2.58,32.4,19.5,0.95,-15.2,-10.3,-3.2,-2.2,67.3,373.0,6.4,177.0,47.0
RU-PSK,Псковская обл,42.489,102.9,4.23,30.0,7.2,-2.5,626.1,-15.3,-0.7,4.28,-0.9,182.0,16.0,25.0,22.9,58.8,176.9,26.0,0.9,21.8,22.5,42.7,1.9,25.0,10.2,0.9,-11.4,-18.5,-3.7,-5.8,74.2,295.0,-11.1,207.0,74.0
RU-KEM,Кемеровская область - Кузбасс,42.21,111.5,4.82,30.0,10.9,-1.9,2657.9,-35.8,-15.1,4.67,-1.5,220.0,17.4,42.2,41.8,50.4,214.3,32.2,3.7,10.1,31.1,38.0,3.12,37.5,8.2,0.96,-45.7,-67.2,-3.6,-5.2,64.8,287.0,0.8,150.0,70.0
RU-KK,Респ Хакасия,42.108,78.9,3.66,36.7,9.7,-0.6,534.3,-1.6,-1.7,4.51,-1.0,223.0,17.0,33.4,34.1,52.3,217.1,32.9,3.6,5.9,28.5,29.4,2.67,35.4,7.9,0.93,-12.8,-20.4,-5.3,-8.1,51.1,207.0,-6.4,133.0,76.0
RU-TVE,Тверская обл,41.21,126.3,4.68,26.8,7.7,-2.8,1260.4,-28.6,-7.8,3.51,-0.7,204.0,19.2,27.5,27.4,58.4,198.5,33.4,2.1,19.8,25.7,52.8,2.23,29.2,10.1,0.9,-2.8,-46.2,-0.4,-6.7,71.7,341.0,7.6,212.0,66.0
