name_with_type	iso_code	06.03.2020	07.03.2020	08.03.2020	09.03.2020	10.03.2020	11.03.2020	12.03.2020	13.03.2020	14.03.2020	15.03.2020	16.03.2020	17.03.2020	18.03.2020	19.03.2020	20.03.2020	21.03.2020	22.03.2020	23.03.2020	24.03.2020	25.03.2020	26.03.2020	27.03.2020	28.03.2020	29.03.2020	30.03.2020	31.03.2020	01.04.2020	02.04.2020	03.04.2020	04.04.2020	05.04.2020	06.04.2020	07.04.2020	08.04.2020	09.04.2020	10.04.2020	11.04.2020	12.04.2020	13.04.2020	14.04.2020	15.04.2020	16.04.2020	17.04.2020	18.04.2020	19.04.2020	20.04.2020	21.04.2020	22.04.2020	23.04.2020	24.04.2020	25.04.2020	26.04.2020	27.04.2020	28.04.2020	29.04.2020	30.04.2020	01.05.2020	02.05.2020	03.05.2020	04.05.2020	05.05.2020	06.05.2020	07.05.2020	08.05.2020	09.05.2020	10.05.2020	11.05.2020		
Респ Дагестан	RU-DA																						1			3	9	2	10				5	13	1	13	1	26			16	5	49	59	44	35	39	40	46	37	113	157	103	167																
Респ Коми	RU-KO											1									2				4	15		32	2		3		31	11	18	31	58				97	97	39	14	19	7	10	16	20	15	11	8	17	12																
Краснодарский край	RU-KDA							1							2		2				4			8				5		17			11	11	24	20	20	13	31	41	5	24	21	30	45	48	34	44	20	58	84	84	73	57																
Волгоградская обл	RU-VGG																			1			3					4					7	11			2	5	5	6	2	1	11	4	17	14	18	23	11	20	21	26	30	30																
Пермский край	RU-PER								1			1			1						2	5		1		2			7	1				11		9	4		15		27	27	18	12	26	28	17	22	29	21	31	55	61	20																
Тульская обл	RU-TUL														3		2				2		1	3		1		5			2	10	10	10	5	12	5		3	11		45	44	25	30	58	22	75	52	25	44	73	66	69																
Ростовская обл	RU-ROS																				1		1				3		4					8	4	3	5	9	14	26	20	6	41	23	29	35	60	54	52	71	64	51	65	65																
Владимирская обл	RU-VLA																									2		1					2	7	2	24	4	6	23	13	16	45	14	24	15	27	34	21	13	46	42	45	49	43																
Свердловская обл	RU-SVE												1		5		3			4		7		4			9		5	1	1		4	7	5	3	2	13	4	7	8	12	6	4	11	15	8	84	10	28	33	33	58	59																
Тюменская обл	RU-TYU										1					1									1		2			5				7		1	3	8	9	14	14	18	27	34	39	42	27	36	29	22	16	17	12	13																
Респ Ингушетия	RU-IN																													1				6	18		4			5		56	63	38	36	42	39	46	43	39	38	41	37	38																
Саратовская обл	RU-SAR														1									1		2		11		4				6	1	4	4	1	7	2	5	7	14	17	11	16	28	26	22	39	16	20	40	22																
Респ Кабардино-Балкарская	RU-KB																2				2					2		2						5	10		4	3	5	15			19	23	22	22	16	18	23	25	25	29	28	29																
Хабаровский край	RU-KHA														3		1					1			2		1	1		1		1		5	8		4	1		14		23	14	18	38	38	30	28	29	38	41	28	27	33																
Орловская обл	RU-ORL																			2			1								3		1	5		5	7	5		5	7		32	12	34	13	43	23	40	11	47	25	42	44																
Ярославская обл	RU-YAR												1										1		1						2	1		5		2			14			12	23	19	24	12	27	43	11	65	42	37	42	25																
Респ Калмыкия	RU-KL																									1	1			5				4	4	8		9				3	1	17	14	7	3		11	6	10	18	24	12																
Респ Удмуртская	RU-UD																	2					2								1			4			2		2		6	8	15	16	4	4	26	26	34	9	17	15	9	5																
Калужская обл	RU-KLU												1							1						1			2		1		1	4			7	6		10	15	25	28	20	29	37	40	30	72	53	61	69	70	56																
Омская обл	RU-OMS																								3			4	2		1			4			2		2	1		2	1	3	5	2	3	5	4	8	1	4	4	9																
Псковская обл	RU-PSK																				4	2				3							1	4		2				5		6	5	5	5	2	8	6	4	4	15	12	17	14																
Респ Карачаево-Черкесская	RU-KC																																	3	2	1	3		2	2	3	7	7	19	1	17	20	19	39	24	25	46	42	19																
Чувашская Республика - Чувашия	RU-CU														1																		2	3	9	2	15	7	11	15		13	47	12	27	29	32	10	27	43	43	35	38	42																
Белгородская обл	RU-BEL			1																					1	3			1		1		4	3	4		8		5		10	4	13	12	11	9	22	10	22	32	26	19	21	27																
Иркутская обл	RU-IRK																								1	1	1		4	1			3	3		3	4	2	5	7	4		6	2	7	1	10	3	7		5	5	2																	
Респ Башкортостан	RU-BA																			3	1				1		2	1	2					2	4	6	18	25	19	23	22	20	42	22	39		45	74	25	26	33	35	37	43																
Кировская обл	RU-KIR											1			2	2		2					1		1	3				3	3			2		8	1	6	1	15		13	9	18	20	39	19	19	28	24	36	40	46	26																
Ульяновская обл	RU-ULY															1																	1	2		2	34	22	8	16		18	19	15	19	11	19		9	32	25	27	27	24																
Респ Северная Осетия - Алания	RU-SE																											2	2		1		3	1	6	7	5		7		18			13	29	26	25	32	34	31	33	30	43	53																
Респ Чеченская	RU-CE																			1			2	2	4			1		2	3		1	1	5			8	17	2	15	41	3	7	60	44	45	39	20	24	18	22	22	20																
Приморский край	RU-PRI																			2							2	1		2				1	7	5		3	1	4	4	4	4	9	18	13	17	7	62	19	35	34	24	24																
Челябинская обл	RU-CHE																1				1	3		4	3	2		7		2	3	1	4	1		2		6		3	5	3	2	4	4	7	10	14	10	9	57	72	62	58																
Респ Крым	UA-43																1				6		7	1			1			2		2	1	1	1	3	3		2	1		2	3	3	3	2		1		5	2	4	10	2																
Респ Адыгея	RU-AD																							1		3			1		2		6				7				7		16	36	5	7	9	8	5	1	3	2	15	8																
Респ Бурятия	RU-BU																					2		6		5	6	6	5	1	4		8		7	4	6	1	12	4	9	6	8	3	9	3		10	28	10	4	13	6	23																
Респ Алтай	RU-AL																																											1	1		2	4		1		5	1	12																
Респ Карелия	RU-KR																																2							1		4	1	1	6	4	8	3		5	2	5	2	12																
Респ Марий Эл	RU-ME																									2			2				9		27	1	22		7	10	11	27	29	32	40	43	29	20	22	15	29	30	24	31																
Респ Мордовия	RU-MO																						2		1			1			1		1		7	4	2		23	16	13			65	62	60	35	34	30	28	39	45	49	42																
Респ Саха /Якутия/	RU-SA														1	6					3	4			1										1			3	3	3	1	7	2	3	9	41	19	4	5	12	9	4	11	7																
Респ Татарстан	RU-TA												1				5			1		3	1	3			5			6			16			9		23		11	23		21	16	16	31	39	50	75	57	14	65	71	70																
Респ Тыва	RU-TY																																				6						2	1		4				1	1	9	3	3																
Респ Хакасия	RU-KK												1									1				1							2		1		3	3			8	6	1	11	8	22	8	8	3	12	3	49	25	8																
Алтайский край	RU-ALT																									1	1	1	1		3		5		6	3		8		2	5	3	9	5	10	9	12	43	9	8	8	63	68	27																
Красноярский край	RU-KYA												1		3		1					3		4		2		6	5			4	3		7			21	25	25	21	11	60	29	45	24	6	64	22	35	22	18	41	19																
Амурская обл	RU-AMU																								1						3							2	11				3	2	3	2	4		3	2	3	5	3	4																
Архангельская обл	RU-ARK												1					1			1					4				1			6			10				7	1		1	1	5	68	7	4	2	3	14	10	20	8																
Астраханская обл	RU-AST																										2			3						16			8	1		17	13	4	35	24	13	1	11	17	21	25	66	21																
Вологодская обл	RU-VLG																									2		7	3		1		10		4	8	3	1	3	1	7	2	15	10	9	7	7	7	7	6	9	9	7	10																
Воронежская обл	RU-VOR														2					4							2	4			2		9		10		4		12	11	8	7	14	19	22	26	24	31	25	25	30	22	25	20																
Камчатский край	RU-KAM																															2				3		5					11	8		5	7	7	15	15	6	3	23	85																
Кемеровская область - Кузбасс	RU-KEM									2												1		1									2		2		4	1		2		1	3	4	4	9	6	6	9	11	9	6	21	4																
Костромская обл	RU-KOS																										1				5		1		1	3	3		3			9	11	9	6	13	4	11	7	16	16	17	11	10																
Курганская обл	RU-KGN																1														1				1				1			6	1	1	1			2		5	2	5	2	2																
Курская обл	RU-KRS																								2			3		1					6	10	1	21	1	15		31	31	25	25	26	24	22	34	32	37	44	67	69																
Ленинградская обл	RU-LEN								1											2				4		2	3	6	11	10	6	10	5		32	18	17	5	5	16	35	108	32	24	34	29	37	42	41	39	39	43	42	43																
Липецкая обл	RU-LIP		3																	2				3	1	1		1	4	3			8		18	4	7	3	5	6	5	11	11	12	21	20	20	20	24	25	25	21	22	24																
Магаданская обл	RU-MAG																										1													1	1		15		44	1		2	2	9	2	9	1	3																
Мурманская обл	RU-MUR														1										2	2	6		4				3		25	1	23		61			137	41	8	7	33	46	35	71	97	60	193	105	28																
Нижегородская обл	RU-NIZ	1											1		1		4				1			3			1		13			22	9		24	7	32	33	42	30	68	47	65	54	59	129	113	101	69	73	94	118	153	207																
Новгородская обл	RU-NGR																	1							2								2			7	6			8			27	21	6	18	10	6	26	17	14	15	25	33																
Новосибирская обл	RU-NVS													1	1	2						1		2	1	1		1				1			2	5	3	7		8		17	11	12	10	22	24	3	16	17	41	38	58	42																
Оренбургская обл	RU-ORE														1						3			2		1			5				2		8		3			20	8	1	28	38	20	44		42	28	23	28	56	16	14																
Рязанская обл	RU-RYA														1		1								1	2				1	6		5		15		6	17	16	18	27		38	30	41	42	22	27	76	37	46	64	63	85																
Самарская обл	RU-SAM											3	2			4				1		2	2				1		2						1		2	1	3	5	11		10	13	1	15	16	8	12	26	44	24	20	35																
Сахалинская обл	RU-SAK																							4				1			1				5							1		7							1			1																
Смоленская обл	RU-SMO																							1							1		1		4	4	2	4		4	34	51	26	7	13	21	16	19	36	7	11	17	10	35																
Тамбовская обл	RU-TAM												1		2													3			1		8		6		12		15		35		50		32	22	22	13	18	23	35	45	56	61																
Тверская обл	RU-TVE												2		1											1		1		1			2		4	7	5	7		44		42	34	37	49	33	26	33	27	27	29	29	23	34																
Томская обл	RU-TOM													1								1			1										1					4	7		6		3	5	4	4	6	9	7	7	1	9																
Забайкальский край	RU-ZAB																																		3				4	6			14	2	3	1	9	7	11	3	9	10	7	6																
Еврейская Аобл	RU-YEV																													3					3		2			1			1	6	3	1	2	21	9	14	14	6		15																
Ненецкий АО	RU-NEN																																									1							3		23		1	9																
Чукотский АО	RU-CHU																																									1		1					4		5	1	3	2																
г Севастополь	UA-40																						5															1			1	1		4		1	4	1	1	6		1	5	3																
г Байконур	KZ-BAY																																																																					
